song_name,artist,song_uri,cluster
Pariah,Dumbo Gets Mad,https://open.spotify.com/track/36gmn5eccYudLIkMJYIret,0
Human Sadness,The Voidz,https://open.spotify.com/track/3YB9cvd668HXBEq8rbBW8P,1
Biggest Part of Me,Ambrosia,https://open.spotify.com/track/6JHXiRD1QjMK1N6AQEnL04,2
Rouge à lèvres,"Alastair Lane, Sarah Degny",https://open.spotify.com/track/4nCyUt4ZqVAp499fgWxeDR,0
Les Gens Qui Dansent (j'adore),Sam Sauvage,https://open.spotify.com/track/0kgZ7YqklQkVLV8SoEi5Us,0
Week-end à Rome - Yuksek Remix,"Étienne Daho, Yuksek",https://open.spotify.com/track/7dJHroWQ2LYHnwKw5Eouk7,1
Bored,Laken Lambson,https://open.spotify.com/track/7LHZozaRbsl39Y5M3PFkzO,1
Roses,Alisa Xayalith,https://open.spotify.com/track/6zE6GEzIJnqZA7M27R4gvd,0
My Brooklyn (Is Better Than Yours),Loren Berí,https://open.spotify.com/track/73WZXIe7gC7mZOpGGam74A,1
Hot,"La Felix, Relaye",https://open.spotify.com/track/2LiW3pPoLL6ZjPOClPVgPi,0
Ipanema (Cafuné),NoMBe,https://open.spotify.com/track/71lC5og1dZKT8gcl1WkMnc,0
Fade To Grey - Extended Version,Visage,https://open.spotify.com/track/2SAC2na7eq3ZNZsrX4KLv2,0
Backseat,Balu Brigada,https://open.spotify.com/track/7yT4NJt5rgmVoMJMGPULcj,0
Suzanne,"Mark Ronson, RAYE",https://open.spotify.com/track/3EL4YcUAmGkfTKXhS49Y3w,1
Cruisin',Smokey Robinson,https://open.spotify.com/track/2gliw3L0oa4w8LqaHploje,1
Stand Your Ground,Lino Borsa,https://open.spotify.com/track/2ctpbtrgdjE5289iZsJWHc,0
Education Of A Broken Heart,Jefferson Clay,https://open.spotify.com/track/5NTqQiOENGynvPhcpnxTAp,1
Woof (butter version),"Sofi Tukker, Kah-Lo",https://open.spotify.com/track/1eW7uljq2Tv5UpUasBc7or,2
Love It When I Need It,"Boy Amor, Bipolar Sunshine",https://open.spotify.com/track/51CVZiEVfdfgHRuXFAi24i,0
electric feel,Boy Amor,https://open.spotify.com/track/4gXZC9xEX24updB0WE31X6,0
Dopamina - Remix,"Cancamusa, Gepe, Marcelo Aldunate",https://open.spotify.com/track/4N7rA6D6PIYmOsnXKAsqzZ,0
Lie to Me,Moon Age,https://open.spotify.com/track/2tnvPY9nZ5VT3YSHTylzrV,0
Better Than,Lake Street Dive,https://open.spotify.com/track/4WMMaqVZIlUnDvICcXWgeZ,2
godless,YAS,https://open.spotify.com/track/7btUqjoqjgQ2FzJu5U2Fz0,1
Time is Running Out,Moon Age,https://open.spotify.com/track/3vcUGZFZvgFUuoKR9B3r80,1
Traveler,Eric Bearclaw,https://open.spotify.com/track/3pXOIoOTRDgmsbYZQz5cym,2
Collect 200,Collect 200,https://open.spotify.com/track/5wMhlHcon8U2WNA05QMUb6,0
Wrap Your Arms,ViVii,https://open.spotify.com/track/3e0ZL2Wy0OH28zfaz44IBB,1
